,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,AREA,transInvest_Dvar
143,2040,Ground PV,Onshore wind,Alpin,0.0
144,2040,SMR,Offshore wind - floating,Marseille,0.0
145,2040,SMR,Offshore wind - floating,Nice,0.0
146,2040,SMR,Offshore wind - floating,Alpin,0.0
147,2040,SMR,ElectrolysisM,Marseille,0.0
148,2040,SMR,ElectrolysisM,Nice,0.0
149,2040,SMR,ElectrolysisM,Alpin,0.0
150,2040,SMR,CCS2,Marseille,0.0
151,2040,SMR,CCS2,Nice,0.0
152,2040,SMR,CCS2,Alpin,0.0
153,2040,SMR,Ground PV,Marseille,0.0
154,2040,SMR,Ground PV,Nice,0.0
155,2040,SMR,Ground PV,Alpin,0.0
156,2040,SMR,SMR,Marseille,0.0
157,2040,SMR,SMR,Nice,0.0
158,2040,SMR,SMR,Alpin,0.0
159,2040,SMR,SMR + CCS1,Marseille,0.0
160,2040,SMR,SMR + CCS1,Nice,0.0
161,2040,SMR,SMR + CCS1,Alpin,0.0
162,2040,SMR,CCS1,Marseille,0.0
163,2040,SMR,CCS1,Nice,0.0
164,2040,SMR,CCS1,Alpin,0.0
165,2040,SMR,ElectrolysisS,Marseille,0.0
166,2040,SMR,ElectrolysisS,Nice,0.0
167,2040,SMR,ElectrolysisS,Alpin,0.0
168,2040,SMR,Existing SMR,Marseille,0.0
169,2040,SMR,Existing SMR,Nice,0.0
170,2040,SMR,Existing SMR,Alpin,0.0
171,2040,SMR,ElectrolysisL,Marseille,0.0
172,2040,SMR,ElectrolysisL,Nice,0.0
173,2040,SMR,ElectrolysisL,Alpin,0.0
174,2040,SMR,SMR + CCS2,Marseille,0.0
175,2040,SMR,SMR + CCS2,Nice,0.0
176,2040,SMR,SMR + CCS2,Alpin,0.0
177,2040,SMR,Onshore wind,Marseille,0.0
178,2040,SMR,Onshore wind,Nice,0.0
179,2040,SMR,Onshore wind,Alpin,0.0
180,2040,SMR + CCS1,Offshore wind - floating,Marseille,0.0
181,2040,SMR + CCS1,Offshore wind - floating,Nice,0.0
182,2040,SMR + CCS1,Offshore wind - floating,Alpin,0.0
183,2040,SMR + CCS1,ElectrolysisM,Marseille,0.0
184,2040,SMR + CCS1,ElectrolysisM,Nice,0.0
185,2040,SMR + CCS1,ElectrolysisM,Alpin,0.0
186,2040,SMR + CCS1,CCS2,Marseille,0.0
187,2040,SMR + CCS1,CCS2,Nice,0.0
188,2040,SMR + CCS1,CCS2,Alpin,0.0
189,2040,SMR + CCS1,Ground PV,Marseille,0.0
190,2040,SMR + CCS1,Ground PV,Nice,0.0
191,2040,SMR + CCS1,Ground PV,Alpin,0.0
192,2040,SMR + CCS1,SMR,Marseille,0.0
193,2040,SMR + CCS1,SMR,Nice,0.0
194,2040,SMR + CCS1,SMR,Alpin,0.0
195,2040,SMR + CCS1,SMR + CCS1,Marseille,0.0
196,2040,SMR + CCS1,SMR + CCS1,Nice,0.0
197,2040,SMR + CCS1,SMR + CCS1,Alpin,0.0
198,2040,SMR + CCS1,CCS1,Marseille,0.0
199,2040,SMR + CCS1,CCS1,Nice,0.0
200,2040,SMR + CCS1,CCS1,Alpin,0.0
201,2040,SMR + CCS1,ElectrolysisS,Marseille,0.0
202,2040,SMR + CCS1,ElectrolysisS,Nice,0.0
203,2040,SMR + CCS1,ElectrolysisS,Alpin,0.0
204,2040,SMR + CCS1,Existing SMR,Marseille,0.0
205,2040,SMR + CCS1,Existing SMR,Nice,0.0
206,2040,SMR + CCS1,Existing SMR,Alpin,0.0
207,2040,SMR + CCS1,ElectrolysisL,Marseille,0.0
208,2040,SMR + CCS1,ElectrolysisL,Nice,0.0
209,2040,SMR + CCS1,ElectrolysisL,Alpin,0.0
210,2040,SMR + CCS1,SMR + CCS2,Marseille,0.0
211,2040,SMR + CCS1,SMR + CCS2,Nice,0.0
212,2040,SMR + CCS1,SMR + CCS2,Alpin,0.0
213,2040,SMR + CCS1,Onshore wind,Marseille,0.0
214,2040,SMR + CCS1,Onshore wind,Nice,0.0
215,2040,SMR + CCS1,Onshore wind,Alpin,0.0
216,2040,CCS1,Offshore wind - floating,Marseille,0.0
217,2040,CCS1,Offshore wind - floating,Nice,0.0
218,2040,CCS1,Offshore wind - floating,Alpin,0.0
219,2040,CCS1,ElectrolysisM,Marseille,0.0
220,2040,CCS1,ElectrolysisM,Nice,0.0
221,2040,CCS1,ElectrolysisM,Alpin,0.0
222,2040,CCS1,CCS2,Marseille,0.0
223,2040,CCS1,CCS2,Nice,0.0
224,2040,CCS1,CCS2,Alpin,0.0
225,2040,CCS1,Ground PV,Marseille,0.0
226,2040,CCS1,Ground PV,Nice,0.0
227,2040,CCS1,Ground PV,Alpin,0.0
228,2040,CCS1,SMR,Marseille,0.0
