,YEAR_op,TIMESTAMP,AREA,carbon_Pvar
227,2040,3001,Alpin,1668.7974269336144
228,2040,7101,Marseille,61371.952905228136
229,2040,7101,Nice,17497.30551412041
230,2040,7101,Alpin,8853.528401367756
231,2040,2501,Marseille,20539.617354848207
232,2040,2501,Nice,5861.007229399414
233,2040,2501,Alpin,2970.552725246997
234,2040,6601,Marseille,858.1395986992609
235,2040,6601,Nice,109.64932218240932
236,2040,6601,Alpin,0.0
237,2040,2001,Marseille,0.0
238,2040,2001,Nice,173.2626694027451
239,2040,2001,Alpin,0.0
240,2040,6101,Marseille,969.5012260113788
241,2040,6101,Nice,123.87862353432504
242,2040,6101,Alpin,0.0
243,2040,1501,Marseille,0.0
244,2040,1501,Nice,159.87038577740597
245,2040,1501,Alpin,0.0
246,2040,5601,Marseille,55211.34233807411
247,2040,5601,Nice,21755.288793097992
248,2040,5601,Alpin,8047.20529894518
249,2040,1001,Marseille,36198.90026699347
250,2040,1001,Nice,16252.071625431825
251,2040,1001,Alpin,5214.694522158583
252,2040,5101,Marseille,8292.39628999978
253,2040,5101,Nice,10157.998284364661
254,2040,5101,Alpin,1233.1719838193972
255,2040,501,Marseille,1198.7751645951507
256,2040,501,Nice,153.17424396473973
257,2040,501,Alpin,0.0
258,2040,4601,Marseille,20269.15043021381
259,2040,4601,Nice,9186.301599619079
260,2040,4601,Alpin,2934.8636969779727
261,2040,8701,Marseille,0.0
262,2040,8701,Nice,45.19895723549697
263,2040,8701,Alpin,0.0
264,2050,1,Marseille,11467.02473112076
265,2050,1,Nice,3237.933998395237
266,2050,1,Alpin,1599.3406657820865
267,2050,4101,Marseille,43874.66044327039
268,2050,4101,Nice,12519.274343300936
269,2050,4101,Alpin,6329.631621693573
270,2050,8201,Marseille,61624.67135084477
271,2050,8201,Nice,17603.45832412322
272,2050,8201,Alpin,8921.581877524362
273,2050,3601,Marseille,39.55313129188454
274,2050,3601,Nice,0.0
275,2050,3601,Alpin,0.0
276,2050,7701,Marseille,63.75034102339038
277,2050,7701,Nice,0.0
278,2050,7701,Alpin,0.0
279,2050,3101,Marseille,18588.653329243258
280,2050,3101,Nice,5305.872767419407
281,2050,3101,Alpin,2684.541546181454
282,2050,7201,Marseille,20971.96446127563
283,2050,7201,Nice,5990.734087531699
284,2050,7201,Alpin,3036.1174372634864
285,2050,2601,Marseille,0.0
286,2050,2601,Nice,2423.159093758152
287,2050,2601,Alpin,0.0
288,2050,6701,Marseille,38954.22804868101
289,2050,6701,Nice,11126.79244171365
290,2050,6701,Alpin,5638.359664082782
291,2050,2101,Marseille,35755.930724915655
292,2050,2101,Nice,22409.732897001013
293,2050,2101,Alpin,5184.915036355531
294,2050,6201,Marseille,1062.989909325014
295,2050,6201,Nice,5975.067568354975
296,2050,6201,Alpin,47.91346512379273
297,2050,1601,Marseille,0.0
298,2050,1601,Nice,7668.003379388885
299,2050,1601,Alpin,0.0
300,2050,5701,Marseille,0.0
301,2050,5701,Nice,13640.279005018756
302,2050,5701,Alpin,0.0
303,2050,1101,Marseille,83.29424119114509
304,2050,1101,Nice,0.0
305,2050,1101,Alpin,0.0
306,2050,5201,Marseille,22682.85744669527
307,2050,5201,Nice,13901.810162472724
308,2050,5201,Alpin,3262.9184051979832
309,2050,601,Marseille,58748.172634824026
310,2050,601,Nice,16725.270794167962
311,2050,601,Alpin,8414.042981766072
312,2050,4701,Marseille,36314.63337461065
313,2050,4701,Nice,10323.31720539935
314,2050,4701,Alpin,5176.468340554267
315,2050,101,Marseille,11701.344901771763
316,2050,101,Nice,3297.8813756855693
317,2050,101,Alpin,1621.99684842234
318,2050,4201,Marseille,43.74110989926055
319,2050,4201,Nice,0.0
320,2050,4201,Alpin,0.0
321,2050,8301,Marseille,73824.04481420828
322,2050,8301,Nice,21087.64605197438
323,2050,8301,Alpin,10686.693756185246
324,2050,3701,Marseille,23156.715052150634
325,2050,3701,Nice,6611.91642904603
326,2050,3701,Alpin,3347.7262747517384
327,2050,7801,Marseille,32363.72597248177
328,2050,7801,Nice,9168.685962788886
329,2050,7801,Alpin,4562.511173224868
330,2050,3201,Marseille,11482.945320623881
331,2050,3201,Nice,6295.717525506787
332,2050,3201,Alpin,1664.7818556895488
333,2050,7301,Marseille,38501.602753949635
334,2050,7301,Nice,10997.484596152357
335,2050,7301,Alpin,5572.811304452752
336,2050,2701,Marseille,12993.358859263903
337,2050,2701,Nice,17823.509517902097
338,2050,2701,Alpin,1887.7547640644568
339,2050,6801,Marseille,0.0
340,2050,6801,Nice,4818.600218499417
341,2050,6801,Alpin,0.0
342,2050,2201,Marseille,0.0
343,2050,2201,Nice,2490.096785102594
344,2050,2201,Alpin,0.0
345,2050,6301,Marseille,2932.5534540243934
346,2050,6301,Nice,17716.858915697594
347,2050,6301,Alpin,413.7054464028359
348,2050,1701,Marseille,19501.59462726428
349,2050,1701,Nice,5411.531192366376
350,2050,1701,Alpin,2566.5758578267637
351,2050,5801,Marseille,38726.92332597065
352,2050,5801,Nice,21042.654554572
353,2050,5801,Alpin,5561.76109598529
354,2050,1201,Marseille,50971.05816992202
355,2050,1201,Nice,14502.367815987298
356,2050,1201,Alpin,7285.993709285564
357,2050,5301,Marseille,27.919857382506734
358,2050,5301,Nice,0.0
359,2050,5301,Alpin,0.0
360,2050,701,Marseille,15109.42071082039
361,2050,701,Nice,4242.097098350934
362,2050,701,Alpin,2068.114624293572
363,2050,4801,Marseille,25103.315382565008
364,2050,4801,Nice,7171.114527040323
365,2050,4801,Alpin,3634.60426929777
366,2050,201,Marseille,67851.81394616814
367,2050,201,Nice,19797.540398685174
368,2050,201,Alpin,9823.6551351899
369,2050,4301,Marseille,2965.486932531505
370,2050,4301,Nice,804.7092006871553
371,2050,4301,Alpin,360.9549387616431
372,2050,8401,Marseille,49697.8004963234
373,2050,8401,Nice,14172.44449127193
374,2050,8401,Alpin,7156.145286814331
375,2050,3801,Marseille,8589.74722767813
376,2050,3801,Nice,4088.535915210533
377,2050,3801,Alpin,1228.1802698093593
378,2050,7901,Marseille,26453.437411711282
379,2050,7901,Nice,7434.353256895379
380,2050,7901,Alpin,3632.652242706005
381,2050,3301,Marseille,0.0
382,2050,3301,Nice,0.0
383,2050,3301,Alpin,0.0
384,2050,7401,Marseille,0.0
385,2050,7401,Nice,0.0
386,2050,7401,Alpin,0.0
387,2050,2801,Marseille,3690.345588824259
388,2050,2801,Nice,3179.0628271597398
389,2050,2801,Alpin,492.06074913170687
390,2050,6901,Marseille,50721.92466908277
391,2050,6901,Nice,20851.58614653988
392,2050,6901,Alpin,7325.283395361627
