,YEAR_op,TIMESTAMP,TECHNOLOGIES,AREA,power_Dvar
179,2040,7701,SMR + CCS1,Nice,0.0
180,2040,3101,Existing SMR,Alpin,0.0
181,2040,3101,Existing SMR,Marseille,0.0
182,2040,3101,Existing SMR,Nice,0.0
183,2040,3101,Onshore wind,Alpin,21.65583195
184,2040,3101,Onshore wind,Marseille,166.56275685
185,2040,3101,Onshore wind,Nice,28.60708665
186,2040,3101,Ground PV,Alpin,0.0
187,2040,3101,Ground PV,Marseille,0.0
188,2040,3101,Ground PV,Nice,0.0
189,2040,3101,ElectrolysisS,Alpin,0.0
190,2040,3101,ElectrolysisS,Marseille,0.0
191,2040,3101,ElectrolysisS,Nice,0.0
192,2040,3101,Offshore wind - floating,Alpin,0.0
193,2040,3101,Offshore wind - floating,Marseille,0.0
194,2040,3101,Offshore wind - floating,Nice,0.0
195,2040,3101,CCS2,Alpin,0.0
196,2040,3101,CCS2,Marseille,0.0
197,2040,3101,CCS2,Nice,0.0
198,2040,3101,CCS1,Alpin,0.0
199,2040,3101,CCS1,Marseille,0.0
200,2040,3101,CCS1,Nice,0.0
201,2040,3101,SMR,Alpin,0.0
202,2040,3101,SMR,Marseille,0.0
203,2040,3101,SMR,Nice,0.0
204,2040,3101,SMR + CCS2,Alpin,0.0
205,2040,3101,SMR + CCS2,Marseille,0.0
206,2040,3101,SMR + CCS2,Nice,0.0
207,2040,3101,ElectrolysisL,Alpin,200.0
208,2040,3101,ElectrolysisL,Marseille,1573.735165544491
209,2040,3101,ElectrolysisL,Nice,300.0
210,2040,3101,ElectrolysisM,Alpin,8.503688092729186
211,2040,3101,ElectrolysisM,Marseille,0.0
212,2040,3101,ElectrolysisM,Nice,0.0
213,2040,3101,SMR + CCS1,Alpin,0.0
214,2040,3101,SMR + CCS1,Marseille,0.0
215,2040,3101,SMR + CCS1,Nice,0.0
216,2040,7201,Existing SMR,Alpin,0.0
217,2040,7201,Existing SMR,Marseille,0.0
218,2040,7201,Existing SMR,Nice,0.0
219,2040,7201,Onshore wind,Alpin,2.220054804
220,2040,7201,Onshore wind,Marseille,17.075236332
221,2040,7201,Onshore wind,Nice,2.932664988
222,2040,7201,Ground PV,Alpin,0.0
223,2040,7201,Ground PV,Marseille,0.0
224,2040,7201,Ground PV,Nice,0.0
225,2040,7201,ElectrolysisS,Alpin,0.0
226,2040,7201,ElectrolysisS,Marseille,0.0
227,2040,7201,ElectrolysisS,Nice,0.0
228,2040,7201,Offshore wind - floating,Alpin,0.0
229,2040,7201,Offshore wind - floating,Marseille,0.0
230,2040,7201,Offshore wind - floating,Nice,0.0
231,2040,7201,CCS2,Alpin,0.0
232,2040,7201,CCS2,Marseille,0.0
233,2040,7201,CCS2,Nice,0.0
234,2040,7201,CCS1,Alpin,0.0
235,2040,7201,CCS1,Marseille,0.0
236,2040,7201,CCS1,Nice,0.0
237,2040,7201,SMR,Alpin,0.0
238,2040,7201,SMR,Marseille,0.0
239,2040,7201,SMR,Nice,0.0
240,2040,7201,SMR + CCS2,Alpin,0.0
241,2040,7201,SMR + CCS2,Marseille,0.0
242,2040,7201,SMR + CCS2,Nice,0.0
243,2040,7201,ElectrolysisL,Alpin,200.0
244,2040,7201,ElectrolysisL,Marseille,1573.735165544491
245,2040,7201,ElectrolysisL,Nice,300.0
246,2040,7201,ElectrolysisM,Alpin,8.503688092729186
247,2040,7201,ElectrolysisM,Marseille,0.0
248,2040,7201,ElectrolysisM,Nice,0.0
249,2040,7201,SMR + CCS1,Alpin,0.0
250,2040,7201,SMR + CCS1,Marseille,0.0
251,2040,7201,SMR + CCS1,Nice,0.0
252,2040,2601,Existing SMR,Alpin,0.0
253,2040,2601,Existing SMR,Marseille,0.0
