,YEAR_op,TIMESTAMP,STOCK_TECHNO,AREA,stockLevel_Pvar
266,2040,6401,Battery,Alpin,0.0
267,2040,6401,Salt cavern,Nice,0.0
268,2040,6401,Salt cavern,Marseille,0.0
269,2040,6401,Salt cavern,Alpin,0.0
270,2040,1801,Battery,Nice,0.0
271,2040,1801,Battery,Marseille,0.0
272,2040,1801,Battery,Alpin,0.0
273,2040,1801,Salt cavern,Nice,0.0
274,2040,1801,Salt cavern,Marseille,0.0
275,2040,1801,Salt cavern,Alpin,0.0
276,2040,5901,Battery,Nice,0.0
277,2040,5901,Battery,Marseille,0.0
278,2040,5901,Battery,Alpin,0.0
279,2040,5901,Salt cavern,Nice,0.0
280,2040,5901,Salt cavern,Marseille,0.0
281,2040,5901,Salt cavern,Alpin,0.0
282,2040,1301,Battery,Nice,0.0
283,2040,1301,Battery,Marseille,0.0
284,2040,1301,Battery,Alpin,0.0
285,2040,1301,Salt cavern,Nice,0.0
286,2040,1301,Salt cavern,Marseille,0.0
287,2040,1301,Salt cavern,Alpin,0.0
288,2040,5401,Battery,Nice,0.0
289,2040,5401,Battery,Marseille,0.0
290,2040,5401,Battery,Alpin,0.0
291,2040,5401,Salt cavern,Nice,0.0
292,2040,5401,Salt cavern,Marseille,0.0
293,2040,5401,Salt cavern,Alpin,0.0
294,2040,801,Battery,Nice,0.0
295,2040,801,Battery,Marseille,0.0
296,2040,801,Battery,Alpin,0.0
297,2040,801,Salt cavern,Nice,0.0
298,2040,801,Salt cavern,Marseille,0.0
299,2040,801,Salt cavern,Alpin,0.0
300,2040,4901,Battery,Nice,0.0
301,2040,4901,Battery,Marseille,0.0
302,2040,4901,Battery,Alpin,0.0
303,2040,4901,Salt cavern,Nice,0.0
304,2040,4901,Salt cavern,Marseille,0.0
305,2040,4901,Salt cavern,Alpin,0.0
306,2040,301,Battery,Nice,0.0
307,2040,301,Battery,Marseille,0.0
308,2040,301,Battery,Alpin,0.0
309,2040,301,Salt cavern,Nice,0.0
310,2040,301,Salt cavern,Marseille,0.0
311,2040,301,Salt cavern,Alpin,0.0
312,2040,4401,Battery,Nice,0.0
313,2040,4401,Battery,Marseille,0.0
314,2040,4401,Battery,Alpin,0.0
315,2040,4401,Salt cavern,Nice,0.0
316,2040,4401,Salt cavern,Marseille,0.0
317,2040,4401,Salt cavern,Alpin,0.0
318,2040,8501,Battery,Nice,0.0
319,2040,8501,Battery,Marseille,0.0
320,2040,8501,Battery,Alpin,0.0
321,2040,8501,Salt cavern,Nice,0.0
322,2040,8501,Salt cavern,Marseille,0.0
323,2040,8501,Salt cavern,Alpin,0.0
324,2040,3901,Battery,Nice,0.0
325,2040,3901,Battery,Marseille,0.0
326,2040,3901,Battery,Alpin,0.0
327,2040,3901,Salt cavern,Nice,0.0
328,2040,3901,Salt cavern,Marseille,0.0
329,2040,3901,Salt cavern,Alpin,0.0
330,2040,8001,Battery,Nice,0.0
331,2040,8001,Battery,Marseille,0.0
332,2040,8001,Battery,Alpin,0.0
333,2040,8001,Salt cavern,Nice,0.0
334,2040,8001,Salt cavern,Marseille,0.0
335,2040,8001,Salt cavern,Alpin,0.0
336,2040,3401,Battery,Nice,0.0
337,2040,3401,Battery,Marseille,0.0
338,2040,3401,Battery,Alpin,0.0
339,2040,3401,Salt cavern,Nice,0.0
340,2040,3401,Salt cavern,Marseille,0.0
341,2040,3401,Salt cavern,Alpin,0.0
342,2040,7501,Battery,Nice,0.0
343,2040,7501,Battery,Marseille,0.0
344,2040,7501,Battery,Alpin,0.0
345,2040,7501,Salt cavern,Nice,0.0
346,2040,7501,Salt cavern,Marseille,0.0
347,2040,7501,Salt cavern,Alpin,0.0
348,2040,2901,Battery,Nice,0.0
349,2040,2901,Battery,Marseille,0.0
350,2040,2901,Battery,Alpin,0.0
351,2040,2901,Salt cavern,Nice,0.0
352,2040,2901,Salt cavern,Marseille,0.0
353,2040,2901,Salt cavern,Alpin,0.0
354,2040,7001,Battery,Nice,0.0
355,2040,7001,Battery,Marseille,0.0
356,2040,7001,Battery,Alpin,0.0
357,2040,7001,Salt cavern,Nice,0.0
358,2040,7001,Salt cavern,Marseille,0.0
359,2040,7001,Salt cavern,Alpin,0.0
360,2040,2401,Battery,Nice,0.0
361,2040,2401,Battery,Marseille,0.0
362,2040,2401,Battery,Alpin,0.0
363,2040,2401,Salt cavern,Nice,0.0
364,2040,2401,Salt cavern,Marseille,0.0
365,2040,2401,Salt cavern,Alpin,0.0
366,2040,6501,Battery,Nice,0.0
367,2040,6501,Battery,Marseille,0.0
368,2040,6501,Battery,Alpin,0.0
369,2040,6501,Salt cavern,Nice,0.0
370,2040,6501,Salt cavern,Marseille,0.0
371,2040,6501,Salt cavern,Alpin,0.0
372,2040,1901,Battery,Nice,0.0
373,2040,1901,Battery,Marseille,0.0
374,2040,1901,Battery,Alpin,0.0
375,2040,1901,Salt cavern,Nice,0.0
376,2040,1901,Salt cavern,Marseille,0.0
377,2040,1901,Salt cavern,Alpin,0.0
378,2040,6001,Battery,Nice,0.0
379,2040,6001,Battery,Marseille,0.0
380,2040,6001,Battery,Alpin,0.0
381,2040,6001,Salt cavern,Nice,0.0
382,2040,6001,Salt cavern,Marseille,0.0
383,2040,6001,Salt cavern,Alpin,0.0
384,2040,1401,Battery,Nice,0.0
385,2040,1401,Battery,Marseille,0.0
386,2040,1401,Battery,Alpin,0.0
387,2040,1401,Salt cavern,Nice,0.0
388,2040,1401,Salt cavern,Marseille,0.0
389,2040,1401,Salt cavern,Alpin,0.0
390,2040,5501,Battery,Nice,0.0
391,2040,5501,Battery,Marseille,0.0
392,2040,5501,Battery,Alpin,0.0
393,2040,5501,Salt cavern,Nice,0.0
394,2040,5501,Salt cavern,Marseille,0.0
395,2040,5501,Salt cavern,Alpin,0.0
396,2040,901,Battery,Nice,0.0
397,2040,901,Battery,Marseille,0.0
398,2040,901,Battery,Alpin,0.0
399,2040,901,Salt cavern,Nice,0.0
400,2040,901,Salt cavern,Marseille,0.0
401,2040,901,Salt cavern,Alpin,0.0
402,2040,5001,Battery,Nice,0.0
403,2040,5001,Battery,Marseille,0.0
404,2040,5001,Battery,Alpin,0.0
405,2040,5001,Salt cavern,Nice,0.0
406,2040,5001,Salt cavern,Marseille,0.0
407,2040,5001,Salt cavern,Alpin,0.0
408,2040,401,Battery,Nice,0.0
409,2040,401,Battery,Marseille,0.0
410,2040,401,Battery,Alpin,0.0
411,2040,401,Salt cavern,Nice,0.0
412,2040,401,Salt cavern,Marseille,0.0
413,2040,401,Salt cavern,Alpin,0.0
414,2040,4501,Battery,Nice,0.0
415,2040,4501,Battery,Marseille,0.0
416,2040,4501,Battery,Alpin,0.0
417,2040,4501,Salt cavern,Nice,0.0
418,2040,4501,Salt cavern,Marseille,0.0
419,2040,4501,Salt cavern,Alpin,0.0
420,2040,8601,Battery,Nice,0.0
421,2040,8601,Battery,Marseille,0.0
422,2040,8601,Battery,Alpin,0.0
423,2040,8601,Salt cavern,Nice,0.0
424,2040,8601,Salt cavern,Marseille,0.0
425,2040,8601,Salt cavern,Alpin,0.0
426,2040,4001,Battery,Nice,0.0
427,2040,4001,Battery,Marseille,0.0
428,2040,4001,Battery,Alpin,0.0
429,2040,4001,Salt cavern,Nice,0.0
430,2040,4001,Salt cavern,Marseille,0.0
431,2040,4001,Salt cavern,Alpin,0.0
432,2040,8101,Battery,Nice,0.0
433,2040,8101,Battery,Marseille,0.0
434,2040,8101,Battery,Alpin,0.0
435,2040,8101,Salt cavern,Nice,0.0
436,2040,8101,Salt cavern,Marseille,0.0
437,2040,8101,Salt cavern,Alpin,0.0
438,2040,3501,Battery,Nice,0.0
439,2040,3501,Battery,Marseille,0.0
440,2040,3501,Battery,Alpin,0.0
441,2040,3501,Salt cavern,Nice,0.0
442,2040,3501,Salt cavern,Marseille,0.0
443,2040,3501,Salt cavern,Alpin,0.0
444,2040,7601,Battery,Nice,0.0
445,2040,7601,Battery,Marseille,0.0
446,2040,7601,Battery,Alpin,0.0
447,2040,7601,Salt cavern,Nice,0.0
448,2040,7601,Salt cavern,Marseille,0.0
449,2040,7601,Salt cavern,Alpin,0.0
450,2040,3001,Battery,Nice,0.0
451,2040,3001,Battery,Marseille,0.0
452,2040,3001,Battery,Alpin,0.0
453,2040,3001,Salt cavern,Nice,0.0
454,2040,3001,Salt cavern,Marseille,0.0
455,2040,3001,Salt cavern,Alpin,0.0
456,2040,7101,Battery,Nice,0.0
457,2040,7101,Battery,Marseille,0.0
458,2040,7101,Battery,Alpin,0.0
459,2040,7101,Salt cavern,Nice,0.0
460,2040,7101,Salt cavern,Marseille,0.0
461,2040,7101,Salt cavern,Alpin,0.0
462,2040,2501,Battery,Nice,0.0
463,2040,2501,Battery,Marseille,0.0
