TIMESTAMP,Calendrier,HTA,sup36,inf36
245,HCH,13.4,29.4,14.7
246,HCH,13.4,29.4,14.7
247,P,28.5,43.7,14.7
248,P,28.5,43.7,14.7
249,HPH,21.4,43.7,14.7
250,HPH,21.4,43.7,14.7
251,HPH,21.4,43.7,14.7
252,HPH,21.4,43.7,14.7
253,HPH,21.4,43.7,14.7
254,HPH,21.4,43.7,14.7
255,HPH,21.4,43.7,14.7
256,HPH,21.4,43.7,14.7
257,HPH,21.4,43.7,14.7
258,HPH,21.4,43.7,14.7
259,P,28.5,43.7,14.7
260,P,28.5,43.7,14.7
261,HPH,21.4,43.7,14.7
262,HPH,21.4,43.7,14.7
263,HCH,13.4,29.4,14.7
264,HCH,13.4,29.4,14.7
265,HCH,13.4,29.4,14.7
266,HCH,13.4,29.4,14.7
267,HCH,13.4,29.4,14.7
268,HCH,13.4,29.4,14.7
269,HCH,13.4,29.4,14.7
270,HCH,13.4,29.4,14.7
271,P,28.5,43.7,14.7
272,P,28.5,43.7,14.7
273,HPH,21.4,43.7,14.7
274,HPH,21.4,43.7,14.7
275,HPH,21.4,43.7,14.7
276,HPH,21.4,43.7,14.7
277,HPH,21.4,43.7,14.7
278,HPH,21.4,43.7,14.7
279,HPH,21.4,43.7,14.7
280,HPH,21.4,43.7,14.7
281,HPH,21.4,43.7,14.7
282,HPH,21.4,43.7,14.7
283,P,28.5,43.7,14.7
284,P,28.5,43.7,14.7
285,HPH,21.4,43.7,14.7
286,HPH,21.4,43.7,14.7
287,HCH,13.4,29.4,14.7
288,HCH,13.4,29.4,14.7
289,HCH,13.4,29.4,14.7
290,HCH,13.4,29.4,14.7
291,HCH,13.4,29.4,14.7
292,HCH,13.4,29.4,14.7
293,HCH,13.4,29.4,14.7
294,HCH,13.4,29.4,14.7
295,P,28.5,43.7,14.7
296,P,28.5,43.7,14.7
297,HPH,21.4,43.7,14.7
298,HPH,21.4,43.7,14.7
299,HPH,21.4,43.7,14.7
300,HPH,21.4,43.7,14.7
301,HPH,21.4,43.7,14.7
302,HPH,21.4,43.7,14.7
303,HPH,21.4,43.7,14.7
304,HPH,21.4,43.7,14.7
305,HPH,21.4,43.7,14.7
306,HPH,21.4,43.7,14.7
307,P,28.5,43.7,14.7
308,P,28.5,43.7,14.7
309,HPH,21.4,43.7,14.7
310,HPH,21.4,43.7,14.7
311,HCH,13.4,29.4,14.7
312,HCH,13.4,29.4,14.7
313,HCH,13.4,29.4,14.7
314,HCH,13.4,29.4,14.7
315,HCH,13.4,29.4,14.7
316,HCH,13.4,29.4,14.7
317,HCH,13.4,29.4,14.7
318,HCH,13.4,29.4,14.7
319,P,28.5,43.7,14.7
320,P,28.5,43.7,14.7
321,HPH,21.4,43.7,14.7
322,HPH,21.4,43.7,14.7
323,HPH,21.4,43.7,14.7
324,HPH,21.4,43.7,14.7
325,HPH,21.4,43.7,14.7
326,HPH,21.4,43.7,14.7
327,HPH,21.4,43.7,14.7
328,HPH,21.4,43.7,14.7
329,HPH,21.4,43.7,14.7
330,HPH,21.4,43.7,14.7
331,P,28.5,43.7,14.7
332,P,28.5,43.7,14.7
333,HPH,21.4,43.7,14.7
334,HPH,21.4,43.7,14.7
335,HCH,13.4,29.4,14.7
336,HCH,13.4,29.4,14.7
337,HCH,13.4,29.4,14.7
338,HCH,13.4,29.4,14.7
339,HCH,13.4,29.4,14.7
340,HCH,13.4,29.4,14.7
341,HCH,13.4,29.4,14.7
342,HCH,13.4,29.4,14.7
343,P,28.5,43.7,14.7
344,P,28.5,43.7,14.7
345,HPH,21.4,43.7,14.7
346,HPH,21.4,43.7,14.7
347,HPH,21.4,43.7,14.7
348,HPH,21.4,43.7,14.7
349,HPH,21.4,43.7,14.7
350,HPH,21.4,43.7,14.7
351,HPH,21.4,43.7,14.7
352,HPH,21.4,43.7,14.7
353,HPH,21.4,43.7,14.7
354,HPH,21.4,43.7,14.7
355,P,28.5,43.7,14.7
356,P,28.5,43.7,14.7
357,HPH,21.4,43.7,14.7
358,HPH,21.4,43.7,14.7
359,HCH,13.4,29.4,14.7
360,HCH,13.4,29.4,14.7
361,HCH,13.4,29.4,14.7
362,HCH,13.4,29.4,14.7
363,HCH,13.4,29.4,14.7
364,HCH,13.4,29.4,14.7
365,HCH,13.4,29.4,14.7
366,HCH,13.4,29.4,14.7
367,P,28.5,43.7,14.7
368,P,28.5,43.7,14.7
369,HPH,21.4,43.7,14.7
370,HPH,21.4,43.7,14.7
371,HPH,21.4,43.7,14.7
372,HPH,21.4,43.7,14.7
373,HPH,21.4,43.7,14.7
374,HPH,21.4,43.7,14.7
375,HPH,21.4,43.7,14.7
376,HPH,21.4,43.7,14.7
377,HPH,21.4,43.7,14.7
378,HPH,21.4,43.7,14.7
379,P,28.5,43.7,14.7
380,P,28.5,43.7,14.7
381,HPH,21.4,43.7,14.7
382,HPH,21.4,43.7,14.7
383,HCH,13.4,29.4,14.7
384,HCH,13.4,29.4,14.7
385,HCH,13.4,29.4,14.7
386,HCH,13.4,29.4,14.7
387,HCH,13.4,29.4,14.7
388,HCH,13.4,29.4,14.7
389,HCH,13.4,29.4,14.7
390,HCH,13.4,29.4,14.7
391,P,28.5,43.7,14.7
392,P,28.5,43.7,14.7
393,HPH,21.4,43.7,14.7
394,HPH,21.4,43.7,14.7
395,HPH,21.4,43.7,14.7
396,HPH,21.4,43.7,14.7
397,HPH,21.4,43.7,14.7
398,HPH,21.4,43.7,14.7
399,HPH,21.4,43.7,14.7
400,HPH,21.4,43.7,14.7
401,HPH,21.4,43.7,14.7
402,HPH,21.4,43.7,14.7
403,P,28.5,43.7,14.7
404,P,28.5,43.7,14.7
405,HPH,21.4,43.7,14.7
406,HPH,21.4,43.7,14.7
407,HCH,13.4,29.4,14.7
408,HCH,13.4,29.4,14.7
409,HCH,13.4,29.4,14.7
410,HCH,13.4,29.4,14.7
411,HCH,13.4,29.4,14.7
412,HCH,13.4,29.4,14.7
413,HCH,13.4,29.4,14.7
414,HCH,13.4,29.4,14.7
415,P,28.5,43.7,14.7
416,P,28.5,43.7,14.7
417,HPH,21.4,43.7,14.7
418,HPH,21.4,43.7,14.7
419,HPH,21.4,43.7,14.7
420,HPH,21.4,43.7,14.7
421,HPH,21.4,43.7,14.7
422,HPH,21.4,43.7,14.7
423,HPH,21.4,43.7,14.7
424,HPH,21.4,43.7,14.7
425,HPH,21.4,43.7,14.7
426,HPH,21.4,43.7,14.7
427,P,28.5,43.7,14.7
428,P,28.5,43.7,14.7
429,HPH,21.4,43.7,14.7
430,HPH,21.4,43.7,14.7
431,HCH,13.4,29.4,14.7
432,HCH,13.4,29.4,14.7
433,HCH,13.4,29.4,14.7
434,HCH,13.4,29.4,14.7
435,HCH,13.4,29.4,14.7
436,HCH,13.4,29.4,14.7
437,HCH,13.4,29.4,14.7
438,HCH,13.4,29.4,14.7
439,P,28.5,43.7,14.7
440,P,28.5,43.7,14.7
441,HPH,21.4,43.7,14.7
442,HPH,21.4,43.7,14.7
443,HPH,21.4,43.7,14.7
444,HPH,21.4,43.7,14.7
445,HPH,21.4,43.7,14.7
446,HPH,21.4,43.7,14.7
447,HPH,21.4,43.7,14.7
448,HPH,21.4,43.7,14.7
449,HPH,21.4,43.7,14.7
450,HPH,21.4,43.7,14.7
451,P,28.5,43.7,14.7
452,P,28.5,43.7,14.7
453,HPH,21.4,43.7,14.7
454,HPH,21.4,43.7,14.7
455,HCH,13.4,29.4,14.7
456,HCH,13.4,29.4,14.7
457,HCH,13.4,29.4,14.7
458,HCH,13.4,29.4,14.7
459,HCH,13.4,29.4,14.7
460,HCH,13.4,29.4,14.7
461,HCH,13.4,29.4,14.7
462,HCH,13.4,29.4,14.7
463,P,28.5,43.7,14.7
464,P,28.5,43.7,14.7
465,HPH,21.4,43.7,14.7
466,HPH,21.4,43.7,14.7
467,HPH,21.4,43.7,14.7
468,HPH,21.4,43.7,14.7
469,HPH,21.4,43.7,14.7
470,HPH,21.4,43.7,14.7
471,HPH,21.4,43.7,14.7
472,HPH,21.4,43.7,14.7
473,HPH,21.4,43.7,14.7
474,HPH,21.4,43.7,14.7
475,P,28.5,43.7,14.7
476,P,28.5,43.7,14.7
477,HPH,21.4,43.7,14.7
478,HPH,21.4,43.7,14.7
479,HCH,13.4,29.4,14.7
480,HCH,13.4,29.4,14.7
481,HCH,13.4,29.4,14.7
482,HCH,13.4,29.4,14.7
483,HCH,13.4,29.4,14.7
484,HCH,13.4,29.4,14.7
485,HCH,13.4,29.4,14.7
486,HCH,13.4,29.4,14.7
487,P,28.5,43.7,14.7
488,P,28.5,43.7,14.7
489,HPH,21.4,43.7,14.7
490,HPH,21.4,43.7,14.7
491,HPH,21.4,43.7,14.7
492,HPH,21.4,43.7,14.7
493,HPH,21.4,43.7,14.7
494,HPH,21.4,43.7,14.7
495,HPH,21.4,43.7,14.7
496,HPH,21.4,43.7,14.7
497,HPH,21.4,43.7,14.7
498,HPH,21.4,43.7,14.7
499,P,28.5,43.7,14.7
500,P,28.5,43.7,14.7
501,HPH,21.4,43.7,14.7
502,HPH,21.4,43.7,14.7
503,HCH,13.4,29.4,14.7
504,HCH,13.4,29.4,14.7
505,HCH,13.4,29.4,14.7
506,HCH,13.4,29.4,14.7
507,HCH,13.4,29.4,14.7
508,HCH,13.4,29.4,14.7
509,HCH,13.4,29.4,14.7
510,HCH,13.4,29.4,14.7
511,P,28.5,43.7,14.7
512,P,28.5,43.7,14.7
513,HPH,21.4,43.7,14.7
514,HPH,21.4,43.7,14.7
515,HPH,21.4,43.7,14.7
516,HPH,21.4,43.7,14.7
517,HPH,21.4,43.7,14.7
518,HPH,21.4,43.7,14.7
519,HPH,21.4,43.7,14.7
520,HPH,21.4,43.7,14.7
521,HPH,21.4,43.7,14.7
522,HPH,21.4,43.7,14.7
523,P,28.5,43.7,14.7
524,P,28.5,43.7,14.7
525,HPH,21.4,43.7,14.7
526,HPH,21.4,43.7,14.7
527,HCH,13.4,29.4,14.7
528,HCH,13.4,29.4,14.7
529,HCH,13.4,29.4,14.7
530,HCH,13.4,29.4,14.7
531,HCH,13.4,29.4,14.7
532,HCH,13.4,29.4,14.7
533,HCH,13.4,29.4,14.7
534,HCH,13.4,29.4,14.7
535,P,28.5,43.7,14.7
536,P,28.5,43.7,14.7
537,HPH,21.4,43.7,14.7
538,HPH,21.4,43.7,14.7
539,HPH,21.4,43.7,14.7
540,HPH,21.4,43.7,14.7
541,HPH,21.4,43.7,14.7
542,HPH,21.4,43.7,14.7
543,HPH,21.4,43.7,14.7
544,HPH,21.4,43.7,14.7
545,HPH,21.4,43.7,14.7
546,HPH,21.4,43.7,14.7
547,P,28.5,43.7,14.7
548,P,28.5,43.7,14.7
549,HPH,21.4,43.7,14.7
550,HPH,21.4,43.7,14.7
551,HCH,13.4,29.4,14.7
552,HCH,13.4,29.4,14.7
553,HCH,13.4,29.4,14.7
554,HCH,13.4,29.4,14.7
555,HCH,13.4,29.4,14.7
556,HCH,13.4,29.4,14.7
557,HCH,13.4,29.4,14.7
558,HCH,13.4,29.4,14.7
559,P,28.5,43.7,14.7
560,P,28.5,43.7,14.7
561,HPH,21.4,43.7,14.7
562,HPH,21.4,43.7,14.7
563,HPH,21.4,43.7,14.7
564,HPH,21.4,43.7,14.7
565,HPH,21.4,43.7,14.7
566,HPH,21.4,43.7,14.7
567,HPH,21.4,43.7,14.7
568,HPH,21.4,43.7,14.7
569,HPH,21.4,43.7,14.7
570,HPH,21.4,43.7,14.7
571,P,28.5,43.7,14.7
572,P,28.5,43.7,14.7
573,HPH,21.4,43.7,14.7
574,HPH,21.4,43.7,14.7
575,HCH,13.4,29.4,14.7
576,HCH,13.4,29.4,14.7
577,HCH,13.4,29.4,14.7
578,HCH,13.4,29.4,14.7
579,HCH,13.4,29.4,14.7
580,HCH,13.4,29.4,14.7
581,HCH,13.4,29.4,14.7
582,HCH,13.4,29.4,14.7
583,P,28.5,43.7,14.7
584,P,28.5,43.7,14.7
585,HPH,21.4,43.7,14.7
586,HPH,21.4,43.7,14.7
587,HPH,21.4,43.7,14.7
588,HPH,21.4,43.7,14.7
589,HPH,21.4,43.7,14.7
590,HPH,21.4,43.7,14.7
591,HPH,21.4,43.7,14.7
592,HPH,21.4,43.7,14.7
593,HPH,21.4,43.7,14.7
594,HPH,21.4,43.7,14.7
595,P,28.5,43.7,14.7
596,P,28.5,43.7,14.7
597,HPH,21.4,43.7,14.7
598,HPH,21.4,43.7,14.7
599,HCH,13.4,29.4,14.7
600,HCH,13.4,29.4,14.7
601,HCH,13.4,29.4,14.7
602,HCH,13.4,29.4,14.7
603,HCH,13.4,29.4,14.7
604,HCH,13.4,29.4,14.7
605,HCH,13.4,29.4,14.7
606,HCH,13.4,29.4,14.7
607,P,28.5,43.7,14.7
608,P,28.5,43.7,14.7
609,HPH,21.4,43.7,14.7
610,HPH,21.4,43.7,14.7
611,HPH,21.4,43.7,14.7
612,HPH,21.4,43.7,14.7
613,HPH,21.4,43.7,14.7
614,HPH,21.4,43.7,14.7
615,HPH,21.4,43.7,14.7
616,HPH,21.4,43.7,14.7
617,HPH,21.4,43.7,14.7
618,HPH,21.4,43.7,14.7
619,P,28.5,43.7,14.7
620,P,28.5,43.7,14.7
621,HPH,21.4,43.7,14.7
622,HPH,21.4,43.7,14.7
623,HCH,13.4,29.4,14.7
624,HCH,13.4,29.4,14.7
625,HCH,13.4,29.4,14.7
626,HCH,13.4,29.4,14.7
627,HCH,13.4,29.4,14.7
628,HCH,13.4,29.4,14.7
629,HCH,13.4,29.4,14.7
630,HCH,13.4,29.4,14.7
631,P,28.5,43.7,14.7
632,P,28.5,43.7,14.7
633,HPH,21.4,43.7,14.7
634,HPH,21.4,43.7,14.7
635,HPH,21.4,43.7,14.7
636,HPH,21.4,43.7,14.7
637,HPH,21.4,43.7,14.7
638,HPH,21.4,43.7,14.7
639,HPH,21.4,43.7,14.7
640,HPH,21.4,43.7,14.7
641,HPH,21.4,43.7,14.7
642,HPH,21.4,43.7,14.7
643,P,28.5,43.7,14.7
644,P,28.5,43.7,14.7
645,HPH,21.4,43.7,14.7
646,HPH,21.4,43.7,14.7
647,HCH,13.4,29.4,14.7
648,HCH,13.4,29.4,14.7
649,HCH,13.4,29.4,14.7
650,HCH,13.4,29.4,14.7
651,HCH,13.4,29.4,14.7
652,HCH,13.4,29.4,14.7
653,HCH,13.4,29.4,14.7
654,HCH,13.4,29.4,14.7
655,P,28.5,43.7,14.7
656,P,28.5,43.7,14.7
657,HPH,21.4,43.7,14.7
658,HPH,21.4,43.7,14.7
659,HPH,21.4,43.7,14.7
660,HPH,21.4,43.7,14.7
661,HPH,21.4,43.7,14.7
662,HPH,21.4,43.7,14.7
663,HPH,21.4,43.7,14.7
664,HPH,21.4,43.7,14.7
665,HPH,21.4,43.7,14.7
666,HPH,21.4,43.7,14.7
667,P,28.5,43.7,14.7
668,P,28.5,43.7,14.7
669,HPH,21.4,43.7,14.7
670,HPH,21.4,43.7,14.7
671,HCH,13.4,29.4,14.7
672,HCH,13.4,29.4,14.7
673,HCH,13.4,29.4,14.7
